AuthorID,Author,Date,Content,Attachments,Reactions
"976277823272665169","brettski74","2023-06-16T15:58:31.5330000+02:00","I'm thinking that may be a better way to break things down at the moment. We could potentially break questions down by hardware/software/assembly/programming,  Maybe that would help or maybe it would be overkill. My gut feeling is that there aren't a lot of different questions, but mostly a small number of questions that get asked repeatedly and I'm hoping that a better newcomers and FAQ section would help address most of those before people ask them.","","👍 (1)"
"976277823272665169","brettski74","2023-06-16T15:59:21.5900000+02:00","So maybe we have a group of channels for help/questions and then have one channel for hardware, software, programming and assembly.","",""
"976277823272665169","brettski74","2023-06-16T16:00:45.1670000+02:00","Maybe we have a group of general discussion channels with one each for different designs? Maybe that's just the AfterEarthLtd and Spatz designs at this time. Maybe my modular design, although I'm not sure if I meet my own criteria for considering it a design worthy of it's own channel at this point, so maybe that's just a dream for the future at the moment.","",""
"421725779408191490","technick14","2023-06-16T17:04:20.9440000+02:00","Idk how to reach chris and im not really sure we should try anymore out of respect for his privacy, especially if you've already been unsuccessful guardian. Maybe he doesn't want to be found or contacted lol.

Personally, what I want out of here is just to continue to work on my own design, and learn from others designs pros and cons. Perhaps we can all keep working towards a better project.","",""
"406567780784275458","limak5","2023-06-19T20:50:35.7840000+02:00","I would be voting for that. I have the AfterEarthLtd one for now, but I want to check the others and I believe each of them comes with their own set of quirks, challenges and so on.","",""
"406567780784275458","limak5","2023-06-19T20:51:17.0590000+02:00","Other channels divided between hardware and software would also be great 🙂","",""
"709886271534923776","electron271","2023-08-20T02:36:29.9570000+02:00","fix that users can ping @ everyone and that they can delete messages","",""
"709886271534923776","electron271","2023-08-20T02:36:41.5050000+02:00","if someone with not great intentions joined this server this would be a buge issue","",""
"709886271534923776","electron271","2023-08-20T02:37:03.7750000+02:00","and since there is almost a thousand members.. that would be a big problem spam pings","",""
"242480744658632714","guardians_projects","2023-08-30T21:52:56.8170000+02:00","There is absolutely nothing I can do, at least with the current moderation privileges I’ve been given. Honestly unfortunate that Chris never got back to my emails @electron271","",""
"709886271534923776","electron271","2023-08-30T22:00:05.3620000+02:00","got it","",""
"709886271534923776","electron271","2023-08-30T22:00:08.7380000+02:00","that sucks","",""
"709886271534923776","electron271","2023-08-30T22:01:50.5100000+02:00","my opinion is that an active member of the server or project should make a new discord","",""
"362290473609461760","fireflyjar","2023-10-28T14:40:43.9200000+02:00","post link here to new discord channel if you do.","",""
"976277823272665169","brettski74","2023-11-18T05:20:35.1890000+01:00","Sorry that I've been away for a while. Moved house a few months ago and life's been something of a blur since then. Sounds like you did talk to Discord and even with your mod privileges, it's not sufficient for a transfer of ownership? That's unfortunate.","",""
"709886271534923776","electron271","2023-11-18T05:20:50.5190000+01:00","so btw","",""
"709886271534923776","electron271","2023-11-18T05:20:53.4360000+01:00","i discovered something","",""
"709886271534923776","electron271","2023-11-18T05:21:13.9060000+01:00","if you talk to discord and enough mods agree discord can forcefully change the ownership if a lot of mods agree","",""
"976277823272665169","brettski74","2023-11-18T05:25:59.1620000+01:00","I talked to discord a while ago. Yes - there are policies in place, but they won't transfer ownership to just anyone. It has to be a mod or an admin and aside from Chris who is the owner, there's only one mod - @𝓖𝓾𝓪𝓻𝓭𝓲𝓪𝓷 When I spoke to them, there were three things needed. >100 members. Owner absent for >30 days. A screenshot of a screen that's only accessible to mods and admins. That third one was where the request fell down since at the time, I didn't know that anyone but Chris has any elevated privileges. Later on I noticed Guardian was a mod and we spoke about options a bit, but from his comment above, it sounds like maybe the level of privileges he has aren't enough to meet Discord's transfer policies either.","",""
"976277823272665169","brettski74","2023-11-18T05:28:17.7180000+01:00","My current thoughts are that it's not much point creating a new discord or anything similar unless there's also something to drive traffic there. There are other forks and independent designs that have been more recently maintained, but I don't think any of them are getting too much traffic. My plan was to start making content and maybe try to get attention of some bigger electronics creators on YouTube to help generate some traffic, then move.","",""
"709886271534923776","electron271","2023-11-18T05:28:54.0660000+01:00","alrighty","",""
"976277823272665169","brettski74","2023-11-18T05:31:51.6550000+01:00","Someone did suggest having some pinned comments here to direct people to a new discord, but that feels kinda wrong. That feels more like stealing someone's legacy or something. I mean, Chris may not have been around for quite a while, but it was his design that captured sufficient attention to get us here. An ownership transfer can always be reversed if Chris returns, but I think if we're going to direct traffic toward a competing discord server, we should really do the work to earn that traffic because that's a much less reversible thing.","",""
"976277823272665169","brettski74","2023-11-18T05:34:32.5450000+01:00","I should slightly correct above... my fork has gotten some traffic, and I think some others have, too, but as far as I can tell, that's pretty much all from here, so I still feel like it's riding on Chris's coat-tails, so it's not really independent from Chris's work.","",""
"440699482028638208","darkbeer42","2023-12-20T05:19:11.4520000+01:00","@brettski74 I've been involved in opensource for quite a while -- decades and I will say this scenario happens pretty often.  Someone will create a project that a lot of people latch on to and then.. vapourise.. Starting a new discord and a new project and having a little historical document is just fine.  I really want to see this project take off I've made similar here at home but having it be an open project would be amazing.","",""
"440699482028638208","darkbeer42","2023-12-20T05:20:18.6440000+01:00","It's even worse to just let it sit around after all this time with no real direction, life happens in 5 years it'll be your work everything has to start from somewhere I really wouldn't worry about it.","",""
"943536718454329465","satyamedh","2024-02-15T21:11:55.9290000+01:00","well, fuck","",""
"450836795765030924","panguin6010","2024-02-15T21:12:06.1050000+01:00","Lmao what","",""
"943536718454329465","satyamedh","2024-02-15T21:12:23.8330000+01:00","@Jandro congrats you just woke someone up from sleep","",""
"528680248800444417","highinbc","2024-02-15T21:12:46.8090000+01:00","Hissss","",""
"307336167240630274","ejhal","2024-02-15T21:13:05.0030000+01:00","What a stupid scam","",""
"234132762695565323","gabu6113","2024-02-15T21:13:34.4620000+01:00","yeah, reported and blocked","",""
"313810634766680074","preterition","2024-02-15T21:14:04.6670000+01:00","https://tenor.com/view/we-cant-escape-our-fate-jonas-kahnwald-martha-nielsen-louis-hofmann-lisa-vicari-gif-17525813","",""
"450836795765030924","panguin6010","2024-02-15T21:14:05.0790000+01:00","Stupid lol","",""
"234132762695565323","gabu6113","2024-02-15T21:14:31.9490000+01:00","it should go without saying, but just in case, nobody click on that link","",""
"450836795765030924","panguin6010","2024-02-15T21:14:45.2820000+01:00","If you do I’ll come to your house","",""
"450836795765030924","panguin6010","2024-02-15T21:14:51.0470000+01:00","And spray you with ketchup","",""
"307336167240630274","ejhal","2024-02-15T21:15:03.7870000+01:00","I checked it out, its got all the fingerprints of a stupid SET site, fucking skids","",""
"313810634766680074","preterition","2024-02-15T21:15:39.0080000+01:00","ooo  someone needs to turn of @ everyone for all roles but admin and mod","","👆 (5)"
"338191368163688459",".xracer","2024-02-15T21:16:12.5270000+01:00","I was about to say that","",""
"294248449220673536","124274sashimi","2024-02-15T21:16:24.5700000+01:00","what does SET stand for","",""
"307336167240630274","ejhal","2024-02-15T21:16:40.9860000+01:00","Social engineering toolkit, it's one of the programs that comes in Kali","","👍 (1)"
"426733966679080970","mr.puffington","2024-02-15T21:17:09.9830000+01:00","This spam is on every discord now 🤣","",""
"234132762695565323","gabu6113","2024-02-15T21:18:14.1840000+01:00","I'm not sure there are actually any active admins left on here, this server has kind of been in limbo for a while now I believe","",""
"313810634766680074","preterition","2024-02-15T21:20:41.1970000+01:00","did we move this content to a new one yet?","",""
"313810634766680074","preterition","2024-02-15T21:20:56.8050000+01:00","cause, there  are people here, LOL","",""
"709886271534923776","electron271","2024-02-15T23:51:16.5350000+01:00","fyi this is a scam, do not click it if its not obvious","",""
"709886271534923776","electron271","2024-02-15T23:52:06.8730000+01:00","i dont think anyone has permissions to do this","",""
"709886271534923776","electron271","2024-02-15T23:52:09.6030000+01:00","chris is gone so","",""
"867354261896429588","kevvogeek","2024-03-01T19:47:35.3930000+01:00","Maricon","",""
"382571745691041792","kanken6174","2024-03-01T19:48:02.1030000+01:00","obviously don't click the scam","",""
"307336167240630274","ejhal","2024-03-01T19:48:18.0670000+01:00","But what if I wanna get scammed?","","🤣 (1)"
"426733966679080970","mr.puffington","2024-03-01T19:50:11.9070000+01:00","This is another level of stupidity from scammers. I've only seen them spam tech savvy discord channels for the past month 😄","",""
"709886271534923776","electron271","2024-04-01T19:36:08.9540000+02:00","scam do not click","","👍 (6)"
"390621422768095232",".spelter666","2024-04-01T19:36:33.0510000+02:00","report and block","",""
"546996442015727654","weissnix4711","2024-04-01T19:36:33.0820000+02:00","go-link.ru yeah no thanks","",""
"114189894863028231","taticalhardon59","2024-04-01T19:36:45.4110000+02:00","But 50 bucks....","","😂 (3)"
"390621422768095232",".spelter666","2024-04-01T19:37:13.9490000+02:00","after you gave them your account, you get 50 bucks back from whatever they stole from it 😄","",""
"114189894863028231","taticalhardon59","2024-04-01T19:37:59.2000000+02:00","2FA for the win 😆","",""
"390621422768095232",".spelter666","2024-04-01T19:40:54.6480000+02:00","""Oh support, I lost my 2fa app when my phone was stolen, please remove 2fa from my accunt, here are the details that proof that I'm the owner"" - you would be surprised how often that works, even with automated websites","",""
"390621422768095232",".spelter666","2024-04-01T19:42:38.2900000+02:00","and somehow I think this is how Apt28 got access to the German Bundestag: a 50 bucks beer coupon","",""
"1188442536600141868","meowingelectro","2024-05-30T17:41:45.8140000+02:00","Again reupload as @pcrv has deleted the old messages:

As this server is being nuked, I made a new discord server. I'm working on it, but I have set it up and people can join it.
Invite URL:- https://discord.com/invite/qG8HNvxb

Also, no pressure to join the server

|| @everyone ||","",""
"312923238424379394","antoineok","2024-05-30T17:47:15.5720000+02:00","this is a ping i approve","",""
"951425564797964309","mikoinspace","2024-05-30T17:47:21.7800000+02:00","yes","",""
